#GJM1555C1HR50BB01,,
#In Production,,
#2023/05/29,,
#c,,
#DC0V 25degC,,
Frequency[Hz],Capacitance[F],
1.0E8,5.000323977598443E-13,
1.4975E8,5.000726585361068E-13,
1.995E8,5.001289709582461E-13,
2.4925E8,5.002013468113324E-13,
2.99E8,5.002898012486252E-13,
3.4875E8,5.003943527995482E-13,
3.985E8,5.005150233794609E-13,
4.4825E8,5.006518383012239E-13,
4.98E8,5.008048262885722E-13,
5.4775E8,5.00974019491312E-13,
5.975E8,5.011594535023503E-13,
6.4725E8,5.013611673765775E-13,
6.97E8,5.015792036516222E-13,
7.4675E8,5.018136083704985E-13,
7.965E8,5.020644311061655E-13,
8.4625E8,5.023317249880293E-13,
8.96E8,5.026155467304073E-13,
9.4575E8,5.029159566629897E-13,
9.955E8,5.032330187633249E-13,
1.04525E9,5.035668006913624E-13,
1.095E9,5.039173738260899E-13,
1.14475E9,5.042848133043E-13,
1.1945E9,5.04669198061529E-13,
1.24425E9,5.050706108752063E-13,
1.294E9,5.054891384100582E-13,
1.34375E9,5.059248712658224E-13,
1.3935E9,5.063779040273101E-13,
1.44325E9,5.068483353168763E-13,
1.493E9,5.073362678493519E-13,
1.54275E9,5.078418084894938E-13,
1.5925E9,5.083650683120165E-13,
1.64225E9,5.089061626642689E-13,
1.692E9,5.094652112316194E-13,
1.74175E9,5.1004233810563E-13,
1.7915E9,5.10637671855079E-13,
1.84125E9,5.112513455999268E-13,
1.891E9,5.118834970882905E-13,
1.94075E9,5.125342687765241E-13,
1.9905E9,5.132038079124866E-13,
2.04025E9,5.138922666220955E-13,
2.09E9,5.145998019992625E-13,
2.13975E9,5.153265761993118E-13,
2.1895E9,5.160727565359916E-13,
2.23925E9,5.168385155821879E-13,
2.289E9,5.176240312744598E-13,
2.33875E9,5.184294870215175E-13,
2.3885E9,5.192550718167724E-13,
2.43825E9,5.201009803550924E-13,
2.488E9,5.209674131539037E-13,
2.53775E9,5.218545766787833E-13,
2.5875E9,5.227626834737005E-13,
2.63725E9,5.236919522960617E-13,
2.687E9,5.246426082567302E-13,
2.73675E9,5.256148829651957E-13,
2.7865E9,5.266090146800756E-13,
2.83625E9,5.276252484651422E-13,
2.886E9,5.286638363510741E-13,
2.93575E9,5.297250375031444E-13,
2.9855E9,5.308091183950637E-13,
3.03525E9,5.319163529892073E-13,
3.085E9,5.33047022923472E-13,
3.13475E9,5.342014177050069E-13,
3.1845E9,5.353798349110899E-13,
3.23425E9,5.365825803974217E-13,
3.284E9,5.378099685141272E-13,
3.33375E9,5.390623223297698E-13,
3.3835E9,5.403399738636938E-13,
3.43325E9,5.416432643270288E-13,
3.483E9,5.429725443727076E-13,
3.53275E9,5.443281743548592E-13,
3.5825E9,5.457105245979638E-13,
3.63225E9,5.471199756761723E-13,
3.682E9,5.485569187032102E-13,
3.73175E9,5.500217556333138E-13,
3.7815E9,5.515148995736588E-13,
3.83125E9,5.530367751087736E-13,
3.881E9,5.545878186374502E-13,
3.93075E9,5.561684787226863E-13,
3.9805E9,5.577792164552365E-13,
4.03025E9,5.594205058313546E-13,
4.08E9,5.610928341453617E-13,
4.12975E9,5.627967023976968E-13,
4.1795E9,5.645326257191414E-13,
4.22925E9,5.663011338119453E-13,
4.279E9,5.681027714086234E-13,
4.32875E9,5.699380987492333E-13,
4.3785E9,5.71807692077976E-13,
4.42825E9,5.737121441600275E-13,
4.478E9,5.756520648195369E-13,
4.52775E9,5.776280814997922E-13,
4.5775E9,5.796408398466025E-13,
4.62725E9,5.816910043160068E-13,
4.677E9,5.837792588074755E-13,
4.72675E9,5.859063073238458E-13,
4.7765E9,5.880728746592909E-13,
4.82625E9,5.902797071167026E-13,
4.876E9,5.925275732559431E-13,
4.92575E9,5.948172646745109E-13,
4.9755E9,5.971495968222451E-13,
5.02525E9,5.995254098517928E-13,
5.075E9,6.019455695066707E-13,
5.12475E9,6.044109680488431E-13,
5.1745E9,6.069225252278765E-13,
5.22425E9,6.094811892938315E-13,
5.274E9,6.120879380561955E-13,
5.32375E9,6.147437799913047E-13,
5.3735E9,6.174497554008343E-13,
5.42325E9,6.20206937624117E-13,
5.473E9,6.230164343072069E-13,
5.52275E9,6.258793887317945E-13,
5.5725E9,6.287969812072754E-13,
5.62225E9,6.317704305294802E-13,
5.672E9,6.348009955098055E-13,
5.72175E9,6.378899765787218E-13,
5.7715E9,6.410387174678965E-13,
5.82125E9,6.442486069754477E-13,
5.871E9,6.475210808191428E-13,
5.92075E9,6.50857623582682E-13,
5.9705E9,6.542597707605492E-13,
6.02025E9,6.577291109072791E-13,
6.07E9,6.612672878974143E-13,
